run,time,susceptible,inf_nonprod,inf_prod,dead_cells,pat hsv Trm,act hsv Trm,pat byst Trm,act byst Trm,virions,log virions,max log VL,max time,viral_cells,cytokines,cyto_cells,gauss offset,avg E/T ratio,3x3 E/T ratio,5x5 E/T ratio,7x7 E/T ratio,9x9 E/T ratio,11x11 E/T ratio,percent 0s,closest HSV+,closest Tcell,total infected,log total virus,cytokine kills,Tcell kills,first trm antigen,first trm cycto,first sampled log VL,first sampled time,max sampled log VL,max sampled time,plaque size
1,0.000,15624,0,1,0,244,0,406,0,0,0.000,0.000,0.000,0,0,0,0.000,0.045,0.000,0.000,0.041,0.037,0.025,27.083,7.810,3.162,1,0.000,0,0,1000.000,1000.000,0.000,0.000,0.000,0.000,0.000
1,0.250,15605,8,10,2,244,0,406,0,13869,4.142,4.142,0.250,53,0,0,0.000,0.045,0.000,0.000,0.041,0.037,0.025,27.083,7.810,3.162,20,4.365,0,0,1000.000,1000.000,4.142,0.250,4.142,0.250,0.071
1,0.500,15558,23,30,14,243,1,406,0,66010,4.820,4.820,0.500,110,0.00145095,103,0.000,0.045,0.000,0.000,0.041,0.037,0.025,27.083,7.810,3.162,67,5.189,2,1,0.430,1000.000,4.142,0.250,4.820,0.500,0.187
1,0.750,15547,1,1,76,258,1,427,0,18121,4.258,4.865,0.540,161,0.137396,3391,0.000,0.045,0.000,0.000,0.041,0.037,0.025,27.083,7.810,3.162,79,5.338,63,2,0.430,1000.000,4.142,0.250,4.820,0.500,0.436
1,1.000,15548,0,1,76,313,1,504,0,1944,3.289,4.865,0.540,86,0.546357,11420,0.000,0.045,0.000,0.000,0.041,0.037,0.025,27.083,7.810,3.162,80,5.340,65,2,0.430,1000.000,4.142,0.250,4.820,0.500,0.436
1,1.250,15546,0,0,79,394,1,657,0,144,2.158,4.865,0.540,10,1.19854,15625,0.000,0.045,0.000,0.000,0.041,0.037,0.025,27.083,7.810,3.162,82,5.341,68,2,0.430,1000.000,4.142,0.250,4.820,0.500,0.444
2,0.000,15624,0,1,0,125,0,206,0,0,0.000,0.000,0.000,0,0,0,0.000,0.023,0.111,0.080,0.061,0.111,0.116,40.278,3.606,1.414,1,0.000,0,0,1000.000,1000.000,0.000,0.000,0.000,0.000,0.000
2,0.250,15612,3,3,7,123,2,206,0,7681,3.885,3.905,0.240,36,0.00519818,183,0.000,0.023,0.111,0.080,0.061,0.111,0.116,40.278,3.606,1.414,13,4.166,5,2,0.160,1000.000,3.885,0.250,3.885,0.250,0.132
2,0.500,15611,0,0,14,135,3,223,0,693,2.841,3.905,0.240,49,0.0903128,3777,0.000,0.023,0.111,0.080,0.061,0.111,0.116,40.278,3.606,1.414,14,4.196,12,2,0.160,1000.000,3.885,0.250,3.885,0.250,0.187
3,0.000,15624,0,1,0,328,0,432,0,0,0.000,0.000,0.000,0,0,0,0.000,0.053,0.111,0.040,0.041,0.037,0.066,33.333,3.162,1.414,1,0.000,0,0,1000.000,1000.000,0.000,0.000,0.000,0.000,0.000
3,0.250,15624,0,0,1,328,0,432,0,913,2.960,3.383,0.140,1,0,0,0.000,0.053,0.111,0.040,0.041,0.037,0.066,33.333,3.162,1.414,1,3.602,0,0,1000.000,1000.000,2.960,0.250,2.960,0.250,0.050
